zone,average_total_fare,average_trip_distance
Homecrest,40.39401294498382,13.69874865156419
Governor's Island/Ellis Island/Liberty Island,15.333333333333334,3.5666666666666664
Corona,22.816486099168817,6.8981026081971955
Bensonhurst West,37.26759326993417,12.523873445501101
Westerleigh,51.939490445859875,18.60305732484077
Douglaston,40.068757612667476,13.971973203410476
Newark Airport,67.897127253586,17.319306487695744
Charleston/Tottenville,83.47674418604652,31.191162790697682
East Concourse/Concourse Village,22.224291300097754,6.656116813294235
Mount Hope,27.674107142857142,8.841349206349202
Pelham Parkway,36.2638375,12.256012499999999
Marble Hill,28.443486590038315,9.320478927203066
Rego Park,24.403382581648522,7.451784603421461
Upper East Side South,9.097392455982769,1.6803475743439682
Dyker Heights,34.70035122930256,11.647972905168082
Heartland Village/Todt Hill,56.53636363636364,20.15027272727273
Kew Gardens Hills,26.92954070981211,8.681795407098125
Rikers Island,12.24,2.98
Bayside,38.45090786819099,13.349327505043705
Jackson Heights,19.498680784022984,5.54110513877948
TriBeCa/Civic Center,11.870346213046718,2.7342490264136297
Yorkville West,10.286483363565232,2.3701249733247973
Highbridge,22.13101604278075,6.797834224598934
Stuy Town/Peter Cooper Village,10.1847829171966,2.2104594685052543
Flushing Meadows-Corona Park,26.134351687388985,7.833303730017758
Riverdale/North Riverdale/Fieldston,36.131709183673465,12.303454081632646
Bushwick South,19.47026961504555,5.129771525124889
Windsor Terrace,26.642516799022605,8.430242822235794
Old Astoria,16.968817045566382,4.689531542171043
West Concourse,20.685578069129917,6.186703218116803
Ocean Hill,24.006324927656056,6.753472509301362
Clinton Hill,19.03333266978534,5.156858432036094
Stuyvesant Heights,20.36963918849512,5.401646122239343
Freshkills Park,65.5,23.924999999999997
Broad Channel,43.826530612244895,14.779387755102038
Upper West Side North,10.353887531302577,2.335036827832587
Mariners Harbor,59.477777777777774,21.465777777777774
Oakland Gardens,37.66867469879518,13.018891566265067
East Harlem South,10.686166840089442,2.5001484794143463
Springfield Gardens North,22.945768772348032,7.2805005959475535
Kensington,28.188348820586132,9.079223254705738
Longwood,23.777902621722845,7.1858726591760265
Crown Heights North,21.74377608759553,6.042518004115226
Lenox Hill East,10.638716692205383,2.221899675835317
Hudson Sq,10.835241902022075,2.336611711985838
Flushing,27.855175120772948,8.784889291465376
Norwood,38.03166869671133,12.835572472594395
Upper East Side North,9.285553333458815,1.8965307606158712
Columbia Street,19.77777777777778,5.311111111111111
UN/Turtle Bay South,10.54930191072703,2.230999309102853
Prospect Park,22.19514307228916,6.223689759036145
Starrett City,33.87864077669903,11.039223300970875
East Elmhurst,22.164241092086996,6.721237852845907
Country Club,37.19208860759494,12.916424050632912
Long Island City/Hunters Point,15.248204164572728,4.025260558917997
New Dorp/Midland Beach,52.58273381294964,18.363956834532374
Whitestone,32.1856200317965,10.895564387917325
Bedford Park,34.24257738471257,11.155780164245096
Union Sq,9.417507492342708,1.7945558011414247
Bloomingdale,11.811258780763373,2.9397305595126975
Midtown East,10.77887859157375,2.2136951303875376
Long Island City/Queens Plaza,14.324627090759527,3.7008870304359744
South Jamaica,28.80778588807786,9.082384428223845
Rossville/Woodrow,77.40566037735849,28.510943396226423
Glen Oaks,37.258942457231726,12.836594090202178
Downtown Brooklyn/MetroTech,18.55321002441609,5.172783894596214
Sunset Park West,25.848733544612386,8.03728668941979
Saint George/New Brighton,47.090090090090094,16.356306306306305
East Flatbush/Remsen Village,29.950548033526758,8.777691811734366
Bath Beach,40.45785984848485,14.001609848484845
Richmond Hill,28.400986643688068,8.846953899181385
East Harlem North,11.859114751133268,3.014923412577294
Washington Heights South,21.914664814729786,6.725334726112309
Canarsie,34.273321449792036,10.988502673796786
Van Cortlandt Village,33.44238683127572,11.178646547782352
Sutton Place/Turtle Bay North,10.02455239305999,2.0545556399023206
Sheepshead Bay,43.45710881652105,14.978022239872917
Grymes Hill/Clifton,49.91481481481482,17.783851851851857
LaGuardia Airport,31.100898053680726,10.004291633966405
Flatlands,35.94157242063492,11.333968253968257
Hunts Point,25.41274678111588,7.847639484978542
Jamaica Estates,33.16357571714476,11.116897931954634
Coney Island,46.516928657799276,16.258041112454652
Parkchester,33.89296081277213,11.263918722786647
Astoria,16.612145489992994,4.520648399183602
Garment District,10.364833645506152,1.8981408523758745
Madison,41.285471698113206,13.784912648497551
Erasmus,27.165723981900452,7.947601809954753
Cobble Hill,19.324037854889593,5.477789094186571
Lower East Side,11.488360204296189,2.373527636282244
East Village,9.940290669883685,2.0639726117041857
Hillcrest/Pomonok,29.047869903802106,9.479697663765464
Carroll Gardens,20.255320720845127,5.885389767313406
Gowanus,20.48315225059969,5.721824467334554
Fort Greene,17.175922438557294,4.515325566549635
Marine Park/Mill Basin,42.659543109801035,14.412579218865137
Lincoln Square East,9.63340620372535,1.9770728344214432
Eastchester,40.73828920570265,14.030733197556007
Gramercy,9.345556020347946,1.9048496313615346
Manhattan Valley,11.167582513638184,2.663024201192156
Briarwood/Jamaica Hills,28.756260641781267,9.195144073346432
Middle Village,24.478741919443063,7.488908503232222
Mott Haven/Port Morris,16.860203128648145,4.7966530469297215
Midtown South,10.555997317792098,2.0886439634398783
Co-Op City,41.99872448979592,14.57779336734694
South Williamsburg,18.197511501463822,4.7314575491426165
Battery Park City,14.862975200642781,3.9401901253960934
Cypress Hills,29.021688191881918,8.947721402214027
Glendale,27.257086167800452,8.380561224489792
Sunnyside,15.973463827714951,4.304648287430332
Saint Albans,29.6048224513173,9.572703321878576
Elmhurst/Maspeth,18.10042283298097,5.100854474982379
College Point,30.503528225806452,9.991764112903232
Manhattan Beach,46.36144578313253,16.31833046471601
Queens Village,34.984419354838714,11.87467741935483
Chinatown,11.921389635646056,2.643467940284848
Ridgewood,23.191870540265032,6.617107543323143
Bedford,18.82188136309501,5.02197011026163
Bronxdale,35.234539089848305,12.021178529754962
Melrose South,19.364324979789817,5.494244139046081
Midtown North,10.594687293787516,2.097487202813779
Steinway,18.643881765911043,5.271739475249489
West Brighton,52.38666666666666,18.455400000000004
West Village,9.358457798092836,1.8914884151627396
Claremont/Bathgate,26.127469540768512,7.985060918462978
Baisley Park,23.482286259541986,7.169232824427481
Brooklyn Heights,17.732428949199722,4.968411134307588
Sunset Park East,29.797439264609324,9.569954038082736
Breezy Point/Fort Tilden/Riis Beach,58.208333333333336,21.150937499999994
Bushwick North,20.733576250649126,5.613270440251573
Kips Bay,9.571939129143253,1.9591594054013899
Laurelton,27.281832298136646,8.975186335403722
Two Bridges/Seward Park,12.265601294413326,2.8707955385449337
Financial District South,16.435257995022067,4.515785070381293
Astoria Park,18.2626404494382,5.193089887640449
Port Richmond,58.806326530612246,21.187959183673474
Little Italy/NoLiTa,11.159553990430036,2.2802011536186915
Cambria Heights,28.852777777777778,9.506777777777781
Roosevelt Island,19.06303940520446,5.318066914498142
Jamaica Bay,51.0,17.852857142857143
Prospect-Lefferts Gardens,24.59631209996952,6.991360357614552
Midtown Center,10.391708372907418,2.0021888184631687
East Flushing,31.14992927864215,9.85489391796323
Marine Park/Floyd Bennett Field,34.560344827586206,11.604224137931036
Woodhaven,29.27012530120482,9.245763855421687
Greenwich Village South,9.853090333106904,1.9868175498517626
World Trade Center,15.39614508129225,4.05844271242268
Woodside,16.50522302842869,4.531220411561792
East New York/Pennsylvania Avenue,29.108270676691728,8.713518796992481
Lenox Hill West,9.680341362760982,2.019608779384343
Randalls Island,18.17545335085414,5.163679369250983
Belmont,34.29108635097493,11.23167130919219
Crotona Park East,28.265015015015017,8.93623123123123
Midwood,38.46895937277263,12.61821097647897
Soundview/Bruckner,28.73695111847556,9.369618889809447
Fresh Meadows,31.581405693950177,10.671895017793595
Flatiron,9.07924120232948,1.8057745880715823
Alphabet City,10.495969306179612,2.2455727373519294
Meatpacking/West Village West,10.042599972335113,2.0813149383797604
Ocean Parkway South,37.76406101048618,12.74716873212583
Flatbush/Ditmas Park,29.38254543802254,9.159571065067253
Upper West Side South,9.93027351124298,2.1709723816343516
Auburndale,33.16830985915493,11.082859154929578
Central Park,10.17886694783944,2.1090696284767327
Bay Ridge,35.081859071890456,11.8552938379612
Fordham South,29.89363057324841,9.585121019108282
Bensonhurst East,40.48736369467608,13.72894162924951
Spuyten Duyvil/Kingsbridge,32.66301229508197,10.992381147540987
Maspeth,20.29059325562032,5.930597418817652
Murray Hill-Queens,32.18711083437111,10.58222914072229
Inwood,27.538972640982692,9.100847571189279
University Heights/Morris Heights,26.497421076033792,8.508915073365943
Bellerose,36.412370617696155,12.407929883138562
Jamaica,27.47948005698006,8.629978632478633
East New York,29.24631888935633,8.863235170382842
Clinton East,10.441724311344117,2.165560951231473
Great Kills,63.54545454545455,22.75636363636363
Pelham Bay,36.95281456953642,12.699188741721859
South Ozone Park,30.252336065573775,9.456273224043711
SoHo,10.771183855948236,2.223958952659661
Queensbridge/Ravenswood,11.469180734087038,2.786015177326931
Schuylerville/Edgewater Park,36.21199158485274,12.45783309957924
Borough Park,38.793260714285715,12.665096428571422
Arrochar/Fort Wadsworth,44.84347826086957,15.75908695652174
Manhattanville,14.790674989113079,3.9546107320849666
Bay Terrace/Fort Totten,37.066518847006655,12.961995565410197
Williamsburg (North Side),17.575697094272634,4.580279174063347
East Williamsburg,17.060902984221357,4.5321146809970285
Queensboro Hill,27.755217803030305,9.069242424242425
Willets Point,26.222972972972972,8.348918918918919
Hammels/Arverne,46.391089494163424,15.748132295719843
Penn Station/Madison Sq West,10.072741955192768,1.879923540727652
Central Harlem,12.941510467030811,3.2517501241408153
Howard Beach,31.37051792828685,10.086912350597608
Lincoln Square West,10.08494116542304,2.1517557913593732
Ozone Park,29.767291910902696,9.504243845252047
Williamsburg (South Side),15.770833950852175,3.9976469527948577
Murray Hill,9.852642619089883,1.9216158290615952
West Chelsea/Hudson Yards,9.998389166694354,1.988504003721299
Greenwich Village North,9.531565416646135,1.9280254767653866
Rosedale,27.787333333333333,9.214039999999999
Clinton West,10.053072996229336,2.0705534177704736
Battery Park,15.457078313253012,3.931349774096388
Gravesend,44.659010600706715,15.610070671378091
Forest Hills,26.454610249237028,8.26422431332655
Allerton/Pelham Gardens,39.835642201834865,13.727492354740056
East Flatbush/Farragut,30.634164733178658,9.069350348027841
Forest Park/Highland Park,27.163366336633665,8.614026402640263
Eltingville/Annadale/Prince's Bay,74.6358024691358,27.330370370370368
Brownsville,27.61894586894587,8.014074074074083
Times Sq/Theatre District,11.517538434195322,2.449359690268783
Westchester Village/Unionport,32.42397959183673,10.758306122448973
West Farms/Bronx River,29.43718381112985,9.679949409780782
East Chelsea,9.766321959135755,1.9449985469340312
Bronx Park,34.63680781758958,11.490846905537463
Red Hook,18.46533941450997,5.393400509121767
Brighton Beach,46.4729037952339,16.145895851721097
Far Rockaway,34.15400372439479,11.290260707635014
Oakwood,59.63,21.203200000000006
Boerum Hill,18.437909247800647,5.084582649324412
Kew Gardens,28.380627938213568,8.909358629952987
Central Harlem North,16.111076110388225,4.422019187819228
Springfield Gardens South,22.044869226488593,7.041886477462443
Arden Heights,73.71551724137932,27.239655172413798
Stapleton,47.16981132075472,16.466226415094333
Saint Michaels Cemetery/Woodside,12.904411764705882,3.661213235294118
East Tremont,30.194741966893865,9.733719571567677
Green-Wood Cemetery,23.813653136531364,7.232730627306271
Rockaway Park,51.09526190476191,18.07011904761905
Van Nest/Morris Park,34.561134185303516,11.3158626198083
Highbridge Park,23.867463617463617,7.456850311850311
Crotona Park,28.72142857142857,9.020714285714286
DUMBO/Vinegar Hill,16.598790799432354,4.492090823084201
Financial District North,15.269835782278776,4.04116806008766
Hamilton Heights,18.082096719123445,5.167786261911415
South Beach/Dongan Hills,50.534188034188034,17.73572649572649
Williamsbridge/Olinville,39.92619047619047,13.719037267080733
Prospect Heights,20.994750238625517,5.732584155265668
JFK Airport,49.05672573272704,16.694676016460114
Woodlawn/Wakefield,40.19360787172012,13.96435131195335
Pelham Bay Park,37.69367088607595,13.06379746835443
Brooklyn Navy Yard,16.73184855233853,4.312293986636972
Morrisania/Melrose,24.06689713322091,7.122299044406969
Bloomfield/Emerson Hill,55.970588235294116,20.192179930795852
Seaport,14.156903098220171,3.6659264996704026
North Corona,20.973286318758817,5.946214386459806
Park Slope,22.40994878909677,6.27340725929855
Soundview/Castle Hill,29.232142857142858,9.328214285714285
Kingsbridge Heights,29.66470588235294,9.619238390092882
Hollis,33.164739884393065,10.862312138728324
Morningside Heights,12.6639742116556,3.1838206611822373
Yorkville East,10.765073938733426,2.4595339295445062
Washington Heights North,25.241050648997007,8.071651538531361
Greenpoint,16.669285133323076,4.481541623617859
Van Cortlandt Park,35.724734042553195,12.400531914893612
Elmhurst,20.182820769680273,5.72543284080474
Crown Heights South,24.222324476770073,6.871695116520707
